BSPlotNumber,Species,basal_area,I,plotID,spID,basal_area_z
BS521,QUPA,1.3273228961416876e-4,0,134,3,-0.1816852694769727
BS521,LIDE,0.0014522012041218817,0,134,1,-0.1760939981340888
BS521,LIDE,4.1547562843725005e-4,1,134,1,-0.18048713990349757
BS521,LIDE,2.0106192982974677e-4,1,134,1,-0.18139572149671623
BS521,LIDE,8.55298599939821e-4,1,134,1,-0.17862338278920292
BS521,LIDE,0.002155917958525996,1,134,1,-0.17311198675121736
BS521,LIDE,0.004417864669110647,1,134,1,-0.1635269501634163
BS521,LIDE,9.621127501618741e-4,1,134,1,-0.17817075606144567
BS521,LIDE,0.0010681415022205296,1,134,1,-0.17772145747139248
BS521,QUPA,2.544690049407733e-4,0,134,3,-0.18116940813283758
BS521,LIDE,1.3273228961416876e-4,1,134,1,-0.1816852694769727
BS521,LIDE,2.835287369864788e-4,1,134,1,-0.18104626703778598
BS521,LIDE,0.004417864669110647,1,134,1,-0.1635269501634163
BS521,LIDE,0.003318307240354219,1,134,1,-0.1681863429491529
BS521,LIDE,7.068583470577034e-4,1,134,1,-0.17925240081527735
BS521,LIDE,1.3273228961416876e-4,1,134,1,-0.1816852694769727
BS521,LIDE,9.503317777109126e-5,1,134,1,-0.1818450200867694
BS521,LIDE,1.7671458676442585e-4,1,134,1,-0.18149889376554323
BS521,LIDE,7.853981633974483e-5,0,134,1,-0.18191491097855542
BS521,LIDE,0.003117245310524472,1,134,1,-0.16903834620140193
BS521,LIDE,5.811946409141119e-4,1,134,1,-0.17978490284793297
BS521,LIDE,9.621127501618741e-4,1,134,1,-0.17817075606144567
BS521,LIDE,7.068583470577034e-4,1,134,1,-0.17925240081527735
BS521,LIDE,5.725552611167399e-4,1,134,1,-0.17982151236267804
BS521,LIDE,9.503317777109126e-5,1,134,1,-0.1818450200867694
BS521,LIDE,1.5393804002589983e-4,1,134,1,-0.18159540975896207
BS521,LIDE,6.67588438887831e-4,1,134,1,-0.17941880770048224
BS521,LIDE,1.3273228961416876e-4,1,134,1,-0.1816852694769727
BS521,UMCA,6.60519855417254e-4,1,134,4,-0.17944876093981912
BS521,LIDE,0.007609722805157875,1,134,1,-0.15000139853396377
BS521,LIDE,1.1309733552923256e-4,1,134,1,-0.18176847291957512
BS600,LIDE,0.010108074362925159,0,135,1,-0.1394145924972294
BS600,LIDE,4.3118359170519913e-4,0,135,1,-0.18042057714941562
BS600,LIDE,0.0014522012041218817,0,135,1,-0.1760939981340888
BS600,LIDE,0.0025517586328783095,0,135,1,-0.17143460534835217
BS600,LIDE,2.898119222936584e-4,0,135,1,-0.1810196419361532
BS600,LIDE,0.0013202543126711104,0,135,1,-0.17665312526837718
BS600,LIDE,3.141592653589793e-4,0,135,1,-0.18091646966732616
BS600,LIDE,0.005281017250684442,0,135,1,-0.1598693268266131
BS600,LIDE,0.0010194468160898877,0,135,1,-0.17792780200904654
BS600,LIDE,2.0106192982974677e-4,0,135,1,-0.18139572149671623
BS600,LIDE,1.5393804002589983e-4,0,135,1,-0.18159540975896207
BS600,LIDE,7.547676350249479e-4,0,135,1,-0.17904938441532742
BS600,LIDE,7.068583470577034e-4,0,135,1,-0.17925240081527735
BS600,LIDE,0.04003959837000191,0,135,1,-0.012579264594070843
BS600,LIDE,0.6025299820228034,1,135,1,2.370983037015051
BS600,LIDE,2.835287369864788e-4,0,135,1,-0.18104626703778598
BS600,LIDE,7.853981633974483e-5,0,135,1,-0.18191491097855542
BS600,LIDE,0.20533056884781187,1,135,1,0.6878439559217843
BS600,LIDE,2.269800692218625e-4,1,135,1,-0.18128589295248101
BS600,QUPA,0.018626502843133885,0,135,3,-0.10331761095858709
BS600,QUPA,0.008824733763933728,0,135,3,-0.14485276950572484
BS600,LIDE,1.1309733552923256e-4,0,135,1,-0.18176847291957512
BS600,LIDE,0.0012566370614359172,0,135,1,-0.17692270442240907
BS600,LIDE,0.0015904312808798326,1,135,1,-0.1755082458981676
BS600,LIDE,0.11281537758857285,0,135,1,0.29580930320531457
BS600,LIDE,0.0024363051028588843,0,135,1,-0.17192384159085453
BS600,LIDE,0.016666934425457247,0,135,1,-0.11162131453031056
BS600,LIDE,0.05162579207644107,0,135,1,0.03651742281677662
BS600,LIDE,0.02138246499849553,0,135,1,-0.09163917575490871
BS600,LIDE,2.717477645355171e-4,0,135,1,-0.18109618910334743
BS601,LIDE,0.2941661697115339,1,136,1,1.0642862834945572
BS601,LIDE,6.60519855417254e-4,1,136,1,-0.17944876093981912
BS601,LIDE,9.0792027688745e-4,0,136,1,-0.1784003975630284
BS601,LIDE,4.908738521234052e-4,1,136,1,-0.18016763868390423
BS601,LIDE,5.725552611167399e-4,1,136,1,-0.17982151236267804
BS601,LIDE,3.141592653589793e-4,1,136,1,-0.18091646966732616
BS601,LIDE,3.141592653589793e-4,0,136,1,-0.18091646966732616
